,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
1,29.2,23.3,1.1,0.9,1.1,0.9,0500000US04003
2,18.6,18.4,0.8,0.8,0.8,0.8,0500000US04005
3,20,10.9,0.7,0.4,0.8,0.4,0500000US04007
4,25.9,23.3,0.9,0.9,0.9,0.9,0500000US04009
5,14.3,10.1,0.5,0.5,0.5,0.5,0500000US04011
6,4.2,2,0.2,0.1,0.2,0.1,0500000US04012
7,34.8,32,1.4,1.3,1.4,1.3,0500000US04013
8,31.9,25.8,0.9,0.9,0.9,0.9,0500000US04015
9,10.8,8.6,0.4,0.3,0.4,0.3,0500000US04017
10,34.3,30.7,1.2,1.1,1.2,1.1,0500000US04019
11,30,26.2,1,0.9,1,0.9,0500000US04021
12,18.3,15.6,1.4,1.1,1.3,1.2,0500000US04023
13,35.3,30.7,1.2,1,1.2,1.1,0500000US04025
14,21.9,14.7,0.9,0.7,1,0.7,0500000US04027
15,1.3,0.9,0.1,0.1,0.1,0.1,0500000US04001
1,35.2,31.9,1.4,1.4,1.5,1.4,0500000US09003
2,32.6,31.3,1.3,1.3,1.4,1.4,0500000US09005
3,31.8,30.5,1.4,1.4,1.4,1.4,0500000US09015
4,33.2,29.3,1.3,1.3,1.3,1.3,0500000US09009
5,35.5,33.1,1.4,1.4,1.4,1.4,0500000US09011
6,36.8,36.5,1.8,1.8,1.8,1.8,0500000US09013
7,33.5,31.8,1.6,1.6,1.6,1.6,0500000US09001
8,35.1,33.2,1.5,1.5,1.5,1.5,0500000US09007
1,28.7,17.6,0.9,0.9,1,0.9,0500000US05001
2,32.2,12.1,0.5,0.4,0.5,0.5,0500000US05003
3,40,19.1,1,0.9,0.9,0.9,0500000US05005
4,36.1,34.1,1.4,1.4,1.4,1.4,0500000US05007
5,33.1,25.7,1,1,1,1,0500000US05009
6,25.9,9.7,0.8,0.8,0.7,0.7,0500000US05011
7,16,6.4,0.5,0.5,0.5,0.5,0500000US05013
8,32.6,14.6,0.8,0.8,0.8,0.8,0500000US05015
9,25.6,9.1,0.7,0.6,0.7,0.6,0500000US05017
10,31.3,17.9,1,1,1,1,0500000US05019
11,35.9,11.4,0.7,0.7,0.7,0.7,0500000US05021
12,30.8,10.5,0.8,0.8,0.8,0.8,0500000US05023
13,32.2,11,0.6,0.6,0.6,0.6,0500000US05025
14,29.4,16.5,1,1,0.9,0.9,0500000US05027
15,32.9,19.3,0.9,0.9,0.8,0.8,0500000US05029
16,34.3,26.4,1,1,1,1,0500000US05031
17,32.1,21.9,1.1,1,1.1,1.1,0500000US05033
18,33.5,20,0.8,0.8,0.9,0.9,0500000US05035
19,31.3,16.5,0.7,0.7,0.8,0.8,0500000US05037
20,37.5,12.3,0.8,0.8,0.8,0.7,0500000US05047
21,27.9,11.1,0.5,0.5,0.6,0.5,0500000US05041
22,33.2,13.5,0.7,0.6,0.7,0.7,0500000US05043
23,37.5,31.9,1.4,1.4,1.4,1.3,0500000US05045
24,26.4,8.6,0.7,0.7,0.7,0.7,0500000US05049
25,33.6,21,1,1,1,1,0500000US05051
26,31.9,21.2,1.1,1.1,1.1,1,0500000US05053
27,36.2,25.6,1.1,1.1,1.1,1.1,0500000US05055
28,29.8,11.5,0.9,0.8,0.9,0.9,0500000US05057
29,35.4,16.4,0.9,0.9,0.9,0.9,0500000US05059
30,29.1,9.8,1.1,1,1.1,1.1,0500000US05061
31,33.9,22.6,0.9,0.8,0.8,0.8,0500000US05063
32,12.6,4.4,0.3,0.3,0.3,0.3,0500000US05065
33,24.4,9.2,0.5,0.5,0.6,0.6,0500000US05067
34,33.3,18.8,0.7,0.7,0.8,0.8,0500000US05069
35,24.6,13.1,0.8,0.8,0.8,0.8,0500000US05071
36,21.9,7.2,0.7,0.7,0.7,0.7,0500000US05073
37,29.6,17.7,1,1,1.1,1.1,0500000US05075
38,26,8.3,0.4,0.4,0.4,0.4,0500000US05077
39,27.1,10,0.6,0.6,0.7,0.7,0500000US05079
40,28.6,9.3,0.8,0.8,0.8,0.8,0500000US05081
41,32.1,10.3,0.7,0.6,0.7,0.6,0500000US05083
42,35.5,30.9,1.1,1.1,1.1,1.1,0500000US05085
