,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,36.5,32.9,1.3,1.2,1.8,1.7
2,0400000US09,40.2,37.2,2.6,2.5,2.6,2.4
3,0400000US05,37,26,1.9,1.1,2.1,1.5
4,0400000US08,40.3,38.3,1.7,1.5,2.3,2.2
5,0400000US10,37.8,34.2,1.9,1.6,1.9,1.7
6,0400000US01,39.4,28.8,2,1.2,2.2,1.6
7,0400000US13,36.4,31.4,2,1.4,2.3,2.1
8,0400000US11,35.6,33.1,2.1,1.9,2.1,1.9
9,0400000US12,37.6,31.9,1.7,1.3,1.9,1.6
10,0400000US20,43.3,37.5,2,1.6,2.5,2.3
11,0400000US17,42.1,37.7,2.6,2,2.7,2.5
12,0400000US22,36.4,28.1,1.9,1.2,2,1.6
13,0400000US24,40.2,37.5,2,1.8,2.2,2
14,0400000US25,40.3,38.2,1.7,1.7,2,1.9
15,0400000US29,40.5,34,1.9,1.4,2.5,2.2
16,0400000US35,28.3,24.5,1.3,1,1.8,1.6
17,0400000US37,35.2,29.8,2.1,1.5,2.1,1.8
18,0400000US33,36.4,34.8,1.5,1.4,1.6,1.6
19,0400000US30,31,27.1,1.4,1.2,1.7,1.5
20,0400000US31,44.9,39.8,1.9,1.3,2.3,2.1
21,0400000US34,39.1,36.4,2.5,2.3,2.5,2.4
22,0400000US39,41.7,36.1,2.4,1.9,2.4,2.1
23,0400000US38,39,34.8,2,1.6,2.3,2.1
24,0400000US23,31,26.2,1.3,1,1.3,1.2
25,0400000US54,27,19.4,2.2,1.8,2.4,2
26,0400000US02,23.6,22.4,0.6,0.6,1.6,1.6
27,0400000US72,1.5,1.4,0.5,0.5,0.6,0.6
28,0400000US16,41.8,39.3,1.6,1.4,2,1.9
29,0400000US55,46.4,43.1,1.9,1.6,2,1.9
30,0400000US40,34.6,27.8,1.6,1.2,2.1,1.7
31,0400000US42,39.5,35,1.8,1.5,1.9,1.7
32,0400000US47,39.1,31.2,2.2,1.5,2.5,2.1
33,0400000US26,44.6,38.2,2.1,1.6,2.7,2.3
34,0400000US56,30,27.5,1.7,1.5,1.9,1.8
35,0400000US50,30.9,27.6,1.4,1.2,1.5,1.3
36,0400000US21,39.1,30.9,2.2,1.4,2.2,1.8
37,0400000US32,37.9,34.7,1.3,1.2,1.9,1.7
38,0400000US46,39.8,35.8,1.7,1.4,2.3,2.1
39,0400000US15,32,29.1,1.5,1.4,1.8,1.7
40,0400000US41,40.5,37.8,1.6,1.4,1.9,1.8
41,0400000US45,34.8,27.9,1.9,1.2,1.9,1.4
42,0400000US49,42.8,42.4,1.5,1.5,2.3,2.2
43,0400000US19,44.8,39.9,2.2,1.8,2.4,2.2
44,0400000US44,36.5,32.9,1.4,1.3,1.4,1.2
45,0400000US27,46.4,43.2,2.2,1.9,2.6,2.4
46,0400000US28,39.4,24.8,2,1,2.1,1.3
47,0400000US51,42.7,37.6,2.2,1.7,2.4,2.1
48,0400000US53,42,40.4,1.9,1.7,2.2,2.1
49,0400000US48,33.4,29.4,1.6,1.1,2.1,1.9
50,0400000US18,42.4,36.3,2.3,1.7,2.3,1.9
51,0400000US06,37.9,35.3,1.7,1.5,2.1,2
52,0400000US36,33.1,29.7,1.7,1.5,2,1.8
