,GEO_ID,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT
1,0400000US04,14.9,12.9,1.9,1.6,2.9,2.5
2,0400000US09,13.2,12,3.2,3,3.3,3.1
3,0400000US05,14.9,9.8,1.6,1.2,2.5,2.1
4,0400000US08,14.5,13.6,1.7,1.6,3.2,3.1
5,0400000US10,14.6,13,2.8,2.7,3,2.9
6,0400000US01,15.1,10.4,2.2,1.7,2.9,2.5
7,0400000US13,11.4,9.3,1.7,1.4,2.3,2.2
8,0400000US11,14.8,13.8,2.3,2.2,2.3,2.2
9,0400000US12,14.3,11.5,2.3,1.7,2.4,2.1
10,0400000US20,18.3,15.2,2.2,1.6,3.3,3
11,0400000US17,16.3,14.2,2.6,2.4,3.1,3
12,0400000US22,12.8,9.5,2,1.8,2.8,2.5
13,0400000US24,13.6,12.4,3.2,2.9,3.2,3.1
14,0400000US25,15.2,14.3,2.6,2.5,2.9,2.8
15,0400000US29,15.8,12.7,2.3,1.7,3.3,3
16,0400000US35,10.7,9,1.1,0.9,1.6,1.4
17,0400000US37,11.6,9.2,2,1.7,2.6,2.4
18,0400000US33,11.5,10.7,2.5,2.4,3.3,3.2
19,0400000US30,10.6,8.5,1.1,0.8,2.1,1.8
20,0400000US31,19.3,16.8,2,1.4,2.9,2.7
21,0400000US34,13.3,12,2.9,2.7,2.9,2.6
22,0400000US39,14.6,11.9,3.1,2.9,3.5,3.3
23,0400000US38,14,12,1.4,1.1,1.8,1.7
24,0400000US23,12.1,9.9,1.4,1.3,1.9,1.8
25,0400000US54,9.8,5.7,1.4,1.1,1.8,1.4
26,0400000US02,7.6,7,0.4,0.4,1.3,1.3
27,0400000US72,0,0,0,0,0,0
28,0400000US16,17.8,16.5,2.5,2.3,3.8,3.7
29,0400000US55,17.8,16.2,3.1,3,3.9,3.8
30,0400000US40,13.7,10.6,1.5,1.1,2.3,2
31,0400000US42,15.3,13,2.7,2.5,3.3,3.1
32,0400000US47,13.8,10.4,2.1,1.7,2.6,2.3
33,0400000US26,15.5,12.6,2.4,2.1,3.6,3.4
34,0400000US56,11.5,10.1,1.4,1.3,1.7,1.6
35,0400000US50,12.9,11.1,1.8,1.7,2.2,2.1
36,0400000US21,13.6,9.7,2,1.5,2.7,2.3
37,0400000US32,15.5,14,2,1.8,2.8,2.6
38,0400000US46,17.6,15.7,1.6,1.4,2.3,2.2
39,0400000US15,11.6,10.4,1.4,1.3,2.4,2.2
40,0400000US41,14.3,13,2,1.9,2.8,2.7
41,0400000US45,12.2,9.2,2.4,1.7,2.8,2.4
42,0400000US49,14.6,14.5,2.2,2.1,3.9,3.9
43,0400000US19,18.9,16.4,2.8,2.5,3.6,3.4
44,0400000US44,16.8,14.9,4,3.8,3.2,3
45,0400000US27,16.4,14.7,2.8,2.6,4,3.8
46,0400000US28,15,9.1,2,1.5,2.6,2.2
47,0400000US51,16.4,14.2,2.7,2.4,3.5,3.3
48,0400000US53,13.6,12.8,2.1,2,3,2.9
49,0400000US48,11.2,9.7,1.3,1.1,2.4,2.3
50,0400000US18,15.7,12.6,2.3,1.9,2.8,2.6
51,0400000US06,14.7,13.7,2,1.9,2.3,2.2
52,0400000US36,12.2,10.7,2.5,2.3,2.5,2.3
