,GEO_ID,FSRR2010
1,0400000US04,61.3
2,0400000US09,69.5
3,0400000US05,62.3
4,0400000US08,67.2
5,0400000US10,64.1
6,0400000US01,62.5
7,0400000US13,62.5
8,0400000US11,66
9,0400000US12,63
10,0400000US20,70
11,0400000US17,70.5
12,0400000US22,61
13,0400000US24,69.5
14,0400000US25,68.8
15,0400000US29,67.5
16,0400000US35,60
17,0400000US37,64.8
18,0400000US33,64.4
19,0400000US30,64.6
20,0400000US31,71.1
21,0400000US34,67.6
22,0400000US39,69
23,0400000US38,68.8
24,0400000US23,57.4
25,0400000US54,59.1
26,0400000US02,55.6
27,0400000US72,53.8
28,0400000US16,67.1
29,0400000US55,73.5
30,0400000US40,62.3
31,0400000US42,70.2
32,0400000US47,67.1
33,0400000US26,67.7
34,0400000US56,63.4
35,0400000US50,60.3
36,0400000US21,65.7
37,0400000US32,61.4
38,0400000US46,67.1
39,0400000US15,64.1
40,0400000US41,66.9
41,0400000US45,64.7
42,0400000US49,68.6
43,0400000US19,73
44,0400000US44,65.7
45,0400000US27,74.1
46,0400000US28,61.3
47,0400000US51,69
48,0400000US53,67.2
49,0400000US48,64.4
50,0400000US18,69.6
51,0400000US06,68.2
52,0400000US36,64.6
